Lyon-Perrache;Lyon;Auvergne-Rhône-Alpes;terminus
Lyon-Saint-Exupéry TGV;Lyon;Auvergne-Rhône-Alpes;passage
Paris-Montparnasse 1-2;Paris;Île-de-France;terminus
Paris-Nord;Paris;Île-de-France;terminus
Marne-la-Vallée-Chessy;Marne-la-Vallée;Île-de-France;passage
Marseille-Saint-Charles;Marseille;Provence-Alpes-Côte d'Azur;terminus
Bordeaux-Saint-Jean;Bordeaux;Nouvelle-Aquitaine;terminus
Lille-Europe;Lille;Hauts-de-France;terminus
Calais-Ville;Calais;Hauts-de-France;terminus
Bruxelles-Midi;Bruxelles;Belgique;terminus
Toulouse-Matabiau;Toulouse;Occitanie;terminus
Reims-Maison-Blanche;Reims;Grand Est;passage
Strasbourg-Ville;Strasbourg;Grand Est;terminus
Aachen Hbf;Aachen;Allemagne;terminus
Cologne Hbf;Cologne;Allemagne;terminus
Berlin Hbf;Berlin;Allemagne;terminus
Versailles-Chantiers;Versailles;Île-de-France;terminus
Orléans;Orléans;Centre-Val de Loire;terminus
Dourdan;Dourdan;Île-de-France;passage
Tours;Tours;Centre-Val de Loire;terminus
Brest;Brest;Bretagne;terminus
La Rochelle-Ville;La Rochelle;Nouvelle-Aquitaine;terminus
Roissy-Charles-de-Gaulle 2 TGV;Roissy-en-France;Île-de-France;terminus
Milan Centrale;Milan;Italie;terminus
London St Pancras;Londres;Royaume-Uni;terminus
Amsterdam Centraal;Amsterdam;Pays-Bas;terminus
